id;iterations;dim;time;checksum;seed
reference/popc-bitwise;1000;8192;198.178;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.115;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;206.057;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.114;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.14;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.109;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.108;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.114;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;100;16384;81.802;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;77.5468;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;85.7084;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;78.2299;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;77.5398;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;85.7223;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;78.2144;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;85.7414;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;78.1951;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;16384;77.5228;3179756-3167513-3171884-3162178-3168705-3167231-3170386-3160206;42
reference/popc-bitwise;100;32768;328.166;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;327.429;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;327.092;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;327.392;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;317.992;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;331.483;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;326.467;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;330.608;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;322.116;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;100;32768;320.446;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/sota-adder;10000;2048;36.2895;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3024;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.2939;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3661;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3148;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3141;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3223;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3299;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3159;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;10000;2048;36.3369;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/sota-adder;1000;4096;6.88624;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.89062;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.8887;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.88099;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.88698;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.88314;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.88387;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.88573;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.89152;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;4096;6.88682;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/sota-adder;1000;8192;27.5028;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/sota-adder;1000;8192;27.5627;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/sota-adder;1000;8192;27.5374;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/sota-adder;1000;8192;27.5691;355861-363108-365343-361855-360039-363070-364987-360278;42
